  0.33251581E+01 -0.61080624E-04 -0.56614412E-04 -0.47681995E-04 -0.16224240E-04 -0.25647803E-04 -0.10609627E-04  0.41320235E-01  0.82639903E-01
  0.35468354E+01 -0.63822634E-04 -0.60445946E-04 -0.53692573E-04 -0.17284294E-04 -0.27114100E-04 -0.11205673E-04  0.41320618E-01  0.82640283E-01
  0.37685127E+01 -0.66938504E-04 -0.64653184E-04 -0.60082541E-04 -0.18979121E-04 -0.28825551E-04 -0.11682510E-04  0.41321002E-01  0.82640797E-01
  0.39901898E+01 -0.70654474E-04 -0.69415539E-04 -0.66937668E-04 -0.21483283E-04 -0.30923900E-04 -0.12278557E-04  0.41321371E-01  0.82641445E-01
  0.42118669E+01 -0.75157317E-04 -0.74897063E-04 -0.74376556E-04 -0.24727489E-04 -0.33557291E-04 -0.13113022E-04  0.41321717E-01  0.82642220E-01
  0.44335442E+01 -0.80537953E-04 -0.81220285E-04 -0.82584942E-04 -0.28524466E-04 -0.37028542E-04 -0.14066696E-04  0.41322049E-01  0.82643092E-01
  0.46552215E+01 -0.86944929E-04 -0.88543689E-04 -0.91741218E-04 -0.33036340E-04 -0.41304553E-04 -0.15139580E-04  0.41322373E-01  0.82644045E-01
  0.48768988E+01 -0.94484123E-04 -0.97012002E-04 -0.10206776E-03 -0.38201095E-04 -0.46583682E-04 -0.16570091E-04  0.41322701E-01  0.82645074E-01
  0.50985761E+01 -0.10321468E-03 -0.10674501E-03 -0.11380567E-03 -0.43906188E-04 -0.52950461E-04 -0.18000603E-04  0.41323055E-01  0.82646176E-01
  0.53202534E+01 -0.11324145E-03 -0.11790484E-03 -0.12723161E-03 -0.50342722E-04 -0.60565286E-04 -0.19788742E-04  0.41323453E-01  0.82647353E-01
  0.55419302E+01 -0.12470112E-03 -0.13066623E-03 -0.14259644E-03 -0.57567468E-04 -0.69311711E-04 -0.21934509E-04  0.41323911E-01  0.82648642E-01
  0.57636075E+01 -0.13766790E-03 -0.14518929E-03 -0.16023208E-03 -0.65514469E-04 -0.79555517E-04 -0.24199486E-04  0.41324459E-01  0.82650073E-01
  0.59852848E+01 -0.15232299E-03 -0.16170250E-03 -0.18046152E-03 -0.74492113E-04 -0.91256254E-04 -0.26702881E-04  0.41325115E-01  0.82651690E-01
  0.62069621E+01 -0.16895846E-03 -0.18051767E-03 -0.20363610E-03 -0.84876418E-04 -0.10454202E-03 -0.29683113E-04  0.41325882E-01  0.82653552E-01
  0.64286394E+01 -0.18783577E-03 -0.20194837E-03 -0.23017354E-03 -0.96675220E-04 -0.11971205E-03 -0.33020973E-04  0.41326784E-01  0.82655713E-01
  0.66503162E+01 -0.20925896E-03 -0.22636044E-03 -0.26056339E-03 -0.11012443E-03 -0.13709064E-03 -0.36835670E-04  0.41327838E-01  0.82658216E-01
  0.68719935E+01 -0.23359900E-03 -0.25418939E-03 -0.29537018E-03 -0.12553822E-03 -0.15701557E-03 -0.41127205E-04  0.41329067E-01  0.82661092E-01
  0.70936708E+01 -0.26132254E-03 -0.28595762E-03 -0.33522781E-03 -0.14330847E-03 -0.17980035E-03 -0.46014786E-04  0.41330494E-01  0.82664378E-01
  0.73153481E+01 -0.29294938E-03 -0.32225379E-03 -0.38086262E-03 -0.16373431E-03 -0.20586145E-03 -0.51498413E-04  0.41332141E-01  0.82668103E-01
  0.75370255E+01 -0.32915923E-03 -0.36380126E-03 -0.43308531E-03 -0.18742331E-03 -0.23557985E-03 -0.57935715E-04  0.41334026E-01  0.82672305E-01
  0.77587023E+01 -0.37064770E-03 -0.41137202E-03 -0.49282069E-03 -0.21459479E-03 -0.26947018E-03 -0.65207481E-04  0.41336171E-01  0.82677029E-01
  0.79803796E+01 -0.41827327E-03 -0.46588175E-03 -0.56109868E-03 -0.24589681E-03 -0.30800636E-03 -0.73671341E-04  0.41338600E-01  0.82682319E-01
